"week.ending","month","year","total","monthly.giving.families","SundaysInMonth","MonthsGivingPerWeek"
2010-01-31,"January","2010",14241.15,45,5,2848.23
2010-02-28,"February","2010",22437.5,41,4,5609.375
2010-03-28,"March","2010",13317,32,4,3329.25
2010-04-25,"April","2010",13232.5,36,4,3308.125
2010-05-30,"May","2010",13478.15,40,5,2695.63
2010-06-27,"June","2010",14930.5,43,4,3732.625
2010-07-25,"July","2010",12824.75,36,4,3206.1875
2010-08-29,"August","2010",15776,38,5,3155.2
2010-09-26,"September","2010",9965.75,30,4,2491.4375
2010-10-31,"October","2010",16112.5,40,5,3222.5
2010-11-28,"November","2010",11976.96,30,4,2994.24
2010-12-26,"December","2010",15511.8,37,4,3877.95
2011-01-30,"January","2011",13992.25,37,5,2798.45
2011-02-27,"February","2011",13034,30,4,3258.5
2011-03-27,"March","2011",18106.5,29,4,4526.625
2011-04-24,"April","2011",11416.5,29,4,2854.125
2011-05-29,"May","2011",15182,35,5,3036.4
2011-06-26,"June","2011",11572,31,4,2893
2011-07-31,"July","2011",20739,35,5,4147.8
2011-08-28,"August","2011",10144,30,4,2536
2011-09-25,"September","2011",13236.75,31,4,3309.1875
2011-10-30,"October","2011",18500.5,37,5,3700.1
2011-11-27,"November","2011",10759,30,4,2689.75
2011-12-25,"December","2011",15518,32,4,3879.5
2012-01-29,"January","2012",13648,35,5,2729.6
2012-02-26,"February","2012",12239.25,34,4,3059.8125
2012-03-25,"March","2012",13673,34,4,3418.25
2012-04-29,"April","2012",20654,38,5,4130.8
2012-05-27,"May","2012",14723,32,4,3680.75
2012-06-24,"June","2012",16512,32,4,4128
2012-07-29,"July","2012",17662,32,5,3532.4
2012-08-26,"August","2012",13620,28,4,3405
2012-09-30,"September","2012",16768,32,5,3353.6
2012-10-28,"October","2012",18888,41,4,4722
2012-11-25,"November","2012",13203,31,4,3300.75
2012-12-30,"December","2012",25901.82,43,5,5180.364
2013-01-27,"January","2013",12812.02,30,4,3203.005
2013-02-24,"February","2013",16249,44,4,4062.25
2013-03-31,"March","2013",18255,39,5,3651
2013-04-28,"April","2013",17104.25,38,4,4276.0625
2013-05-26,"May","2013",14321,30,4,3580.25
2013-06-30,"June","2013",16460,29,5,3292
2013-07-28,"July","2013",15013,35,4,3753.25
2013-08-25,"August","2013",15787.59,37,4,3946.8975
2013-09-29,"September","2013",24086.25,43,5,4817.25
2013-10-27,"October","2013",20302,40,4,5075.5
2013-11-24,"November","2013",17104.2,39,4,4276.05
2013-12-29,"December","2013",24291.36,41,5,4858.272
2014-01-26,"January","2014",15141,34,4,3785.25
2014-02-23,"February","2014",16818,34,4,4204.5
2014-03-30,"March","2014",23975,40,5,4795
2014-04-27,"April","2014",18757.5,41,4,4689.375
2014-05-26,"May","2014",25092.46,44,4,6273.115
2014-06-29,"June","2014",21425.25,40,5,4285.05
2014-07-27,"July","2014",26726.07,35,4,6681.5175
2014-08-31,"August","2014",28223.86,41,5,5644.772
2014-09-28,"September","2014",26282,50,4,6570.5
2014-10-26,"October","2014",22165,38,4,5541.25
2014-11-30,"November","2014",31675.75,54,5,6335.15
2014-12-28,"December","2014",28709.1,44,4,7177.275
2015-01-25,"January","2015",21491.67,43,4,5372.9175
2015-02-22,"February","2015",32134.5,49,4,8033.625
2015-03-29,"March","2015",33296,49,5,6659.2
2015-04-26,"April","2015",33733.15,59,4,8433.2875
2015-05-31,"May","2015",29626,47,5,5925.2
2015-06-28,"June","2015",21316,42,4,5329
2015-07-26,"July","2015",37795,44,4,9448.75
2015-08-30,"August","2015",33004,50,5,6600.8
2015-09-27,"September","2015",23513,42,4,5878.25
2015-10-25,"October","2015",31935.68,50,4,7983.92
2015-11-29,"November","2015",35684,42,5,7136.8
2015-12-27,"December","2015",38209,51,4,9552.25
2016-01-31,"January","2016",25290,49,5,5058
2016-02-28,"February","2016",26553,49,4,6638.25
2016-03-27,"March","2016",24124.4,42,4,6031.1
2016-04-24,"April","2016",31186,48,4,7796.5
2016-05-29,"May","2016",30338.55,48,5,6067.71
2016-06-26,"June","2016",23434.62,39,4,5858.655
2016-07-31,"July","2016",27120.37,37,5,5424.074
2016-08-28,"August","2016",26536.41,37,4,6634.1025
2016-09-25,"September","2016",35073.51,46,4,8768.3775
2016-10-30,"October","2016",31743.1,46,5,6348.62
2016-11-27,"November","2016",42092.8,38,4,10523.2
2016-12-25,"December","2016",63802.3,38,4,15950.575
2017-01-29,"January","2017",25782.65,38,5,5156.53
2017-02-26,"February","2017",19794.58,35,4,4948.645
2017-03-26,"March","2017",21056.35,34,4,5264.0875
2017-04-30,"April","2017",28764.14,41,5,5752.828
2017-05-28,"May","2017",30524.58,39,4,7631.145
2017-06-25,"June","2017",20171.15,33,4,5042.7875
2017-07-30,"July","2017",22253.58,35,5,4450.716
2017-08-27,"August","2017",17046.81,34,4,4261.7025
2017-09-24,"September","2017",26945.58,31,4,6736.395
2017-10-29,"October","2017",21422.87,30,5,4284.574
2017-11-26,"November","2017",27615.58,36,4,6903.895
2017-12-31,"December","2017",27601.72,38,5,5520.344
2018-01-28,"January","2018",17570.18,32,4,4392.545
2018-02-25,"February","2018",19761.75,35,4,4940.4375
2018-03-25,"March","2018",18819.41,35,4,4704.8525
2018-04-29,"April","2018",20386.74,35,5,4077.348
2018-05-27,"May","2018",21185.58,32,4,5296.395
